split,isoform,recipe,subgroup,fold,n,mae,bias,spearman,pred_sd,y_sd
butina,CYP1A2,nesso,MW>=215,pooled,1390,0.7425425809428278,0.010219190681211146,0.21434424910551583,0.22931364438483767,1.034420348233726
butina,CYP1A2,nesso,MW>=215,0,269,0.7941319498117593,-0.01766226507735315,0.32249348055262717,0.20772613649887944,1.0902329659053187
butina,CYP1A2,nesso,MW>=215,1,264,0.6964087011160189,-4.227143039651922e-05,0.20479361373256197,0.26470982781410407,0.9600867156088162
butina,CYP1A2,nesso,MW>=215,2,299,0.7461259395730234,0.13445126705386243,0.23164463199479246,0.20707770697872466,1.05447077053481
butina,CYP1A2,nesso,MW>=215,3,281,0.7399153591500252,-0.03481521696852146,0.23664993672186824,0.22010580372921995,1.0397799219405977
butina,CYP1A2,nesso,MW>=215,4,277,0.7352091121409656,-0.041338876789292975,0.10434251876477157,0.23931429954402147,1.0119296096113286
butina,CYP2C9,additive,all,pooled,1285,0.5340170411188522,0.0006851066394774656,0.4233503189172948,0.35029290793491374,0.7819900948636752
butina,CYP2C9,additive,all,0,270,0.5063281705464351,0.007423671257046953,0.4531258621136397,0.3374023701463046,0.7496073879715701
butina,CYP2C9,additive,all,1,256,0.5811029269811883,0.027657173342483257,0.44656171320668336,0.3904816727983788,0.8609161292861246
butina,CYP2C9,additive,all,2,238,0.5496854144407353,-0.07683317719682886,0.42656238386462053,0.39375367044623827,0.7971188685967859
butina,CYP2C9,additive,all,3,260,0.517714991799112,-0.014359158534737184,0.4852206507378921,0.3081241509643145,0.7744892128577033
butina,CYP2C9,additive,all,4,261,0.5184287968518747,0.052932612293207205,0.3200849076342628,0.3070366025164875,0.7229249621117418
butina,CYP2C9,additive,MW<215,pooled,11,0.7750553966775258,-0.026850000786306335,0.39090909090909093,0.5669726624207581,0.9386606309393731
butina,CYP2C9,additive,MW<215,0,2,0.3600136284956539,0.3600136284956539,,0.1160151203766171,0.36815918400000025
butina,CYP2C9,additive,MW<215,1,4,0.9041553217797924,0.4028484789724063,-0.19999999999999998,0.2886347524098277,0.8929525937299255
butina,CYP2C9,additive,MW<215,2,5,0.8377921638684613,-0.5253542363060605,0.7,0.5177956373268486,0.873854081622527
butina,CYP2C9,additive,MW>=215,pooled,1274,0.5319358622247035,0.000922850895116096,0.41382829281328826,0.3240931718245531,0.7706301137888346
butina,CYP2C9,additive,MW>=215,0,268,0.5074200701139784,0.004792402919445409,0.44401629129321024,0.3356203874223038,0.7480046707137831
butina,CYP2C9,additive,MW>=215,1,252,0.5759751111907343,0.02170175579280195,0.4245776165055569,0.3411992957417472,0.826129776963525
butina,CYP2C9,additive,MW>=215,2,233,0.543502866169754,-0.06720826176530027,0.4092659843732805,0.32190008528991776,0.7801531391420929
butina,CYP2C9,additive,MW>=215,3,260,0.517714991799112,-0.014359158534737184,0.4852206507378921,0.3081241509643145,0.7744892128577033
butina,CYP2C9,additive,MW>=215,4,261,0.5184287968518747,0.052932612293207205,0.3200849076342628,0.3070366025164875,0.7229249621117418
butina,CYP2C9,inhibitor,all,pooled,1285,0.49225588162996764,2.2086347957591036e-05,0.5829707535809164,0.4561107754186939,0.7819900948636752
butina,CYP2C9,inhibitor,all,0,270,0.46872578027332157,-0.014386773015368177,0.6033391709381777,0.4630896835755429,0.7496073879715701
butina,CYP2C9,inhibitor,all,1,256,0.5233343659459879,0.07713723408102093,0.6171864271000228,0.4505606913723559,0.8609161292861246
butina,CYP2C9,inhibitor,all,2,238,0.5152580991006439,-0.052569452340365634,0.55017248676919,0.43105010298361535,0.7971188685967859
butina,CYP2C9,inhibitor,all,3,260,0.5000883238304554,0.01494968261531347,0.5676331124606986,0.46794274244541456,0.7744892128577033
butina,CYP2C9,inhibitor,all,4,261,0.45733661975734435,-0.027623410254562924,0.5953753011926215,0.46071233359454533,0.7229249621117418
butina,CYP2C9,inhibitor,MW<215,pooled,11,0.9091664961246206,0.7156145495267764,0.30000000000000004,0.22641331525108477,0.9386606309393731
butina,CYP2C9,inhibitor,MW<215,0,2,0.42784039851521594,0.23735585463363118,,0.059681214515215686,0.36815918400000025
butina,CYP2C9,inhibitor,MW<215,1,4,1.3697891245127525,1.3697891245127525,0.39999999999999997,0.1849854326090993,0.8929525937299255
butina,CYP2C9,inhibitor,MW<215,2,5,0.7331988324578769,0.3835783674952533,0.7,0.2856168599774675,0.873854081622527
butina,CYP2C9,inhibitor,MW>=215,pooled,1274,0.48865618244673276,-0.006156498498955285,0.5770374406333929,0.45403396068548485,0.7706301137888346
butina,CYP2C9,inhibitor,MW>=215,0,268,0.4690308950625611,-0.016265449341106974,0.5974824927199763,0.46176726505571347,0.7480046707137831
butina,CYP2C9,inhibitor,MW>=215,1,252,0.5098985761274679,0.05661895010591407,0.6042751636030694,0.44706683792374097,0.826129776963525
butina,CYP2C9,inhibitor,MW>=215,2,233,0.5105812593290294,-0.0619288476158081,0.5376931045866965,0.42411519661870706,0.7801531391420929
