lane,split,n_train,method,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_mae,mae,bias,weighted_bias,weight_sum,weight_share
original,chemical_cluster,50,head_pretrained,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.4578430159385435,0.4506508478831195,-0.08548339250245005,-0.16242780023081116,185657.13434789734,0.8364559224340242
original,chemical_cluster,50,head_pretrained,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.1644267638190748,1.1653384156937716,-1.1653328733473622,-1.1644211875950747,5565.977961432507,0.025076845262802072
original,chemical_cluster,50,head_pretrained,"novelty_[0,0.2)",8984,2338,1640,1342.2921263358996,903.3292427127453,False,0.6765224186818976,0.9517610785147183,0.6017845666998879,0.1814253936362012,56412.8685343378,0.25416140431542367
original,chemical_cluster,50,head_pretrained,"novelty_[0.2,0.35)",24148,3254,1903,2430.887350778376,802.2158287007068,False,0.5912572162327789,0.7677356707858044,0.37044216871303,0.054855916817837316,163925.34467839933,0.7385459539429694
original,chemical_cluster,50,head_pretrained,"novelty_[0.35,0.5)",275,237,150,166.12693121407284,90.0328566342317,False,0.7323969350550714,1.0146463044889045,0.7377224010525328,0.28909455905667153,1480.1892828131377,0.006668815051364289
original,chemical_cluster,50,head_pretrained,"novelty_[0.5,0.7)",31,29,18,16.683563745094293,9.998371679487352,True,0.9095153290336352,1.3053439593571488,1.2396425058508433,0.8223712120098936,126.69583208722754,0.00057081285601707
original,chemical_cluster,50,head_pretrained,"novelty_[0.7,1]",2,2,2,1.3426606448800686,1.3426606448800686,True,0.4462432952972507,1.446512145996094,1.446512145996094,0.4462432952972507,11.76678445229682,5.30138342256479e-05
original,chemical_cluster,50,head_random,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.6072465163351485,0.7993232850460457,0.37726407424451835,0.04123621301465883,221956.86511208978,1.0
original,chemical_cluster,50,head_random,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.377614980781111,1.5886112779196317,1.4981658668346234,1.2998752888043699,36299.730764192434,0.16354407756597578
original,chemical_cluster,50,head_random,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.45662387559023865,0.4450328341721136,-0.12587901809662055,-0.20485322352078095,185657.13434789734,0.8364559224340242
original,chemical_cluster,50,head_random,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.3232170392729306,1.3242943107770628,-1.3242943107770628,-1.3232170392729306,5565.977961432507,0.025076845262802072
original,chemical_cluster,50,head_random,"novelty_[0,0.2)",8984,2338,1640,1342.2921263358996,903.3292427127453,False,0.664821664218539,0.914313437846395,0.4777134661749647,0.08046308203045882,56412.8685343378,0.25416140431542367
original,chemical_cluster,50,head_random,"novelty_[0.2,0.35)",24148,3254,1903,2430.887350778376,802.2158287007068,False,0.5861018578990229,0.7537216251518013,0.33540719811787006,0.025374071950924178,163925.34467839933,0.7385459539429694
original,chemical_cluster,50,head_random,"novelty_[0.35,0.5)",275,237,150,166.12693121407284,90.0328566342317,False,0.7415722518642333,1.0094168294675423,0.6924541625225182,0.25162652996612994,1480.1892828131377,0.006668815051364289
original,chemical_cluster,50,head_random,"novelty_[0.5,0.7)",31,29,18,16.683563745094293,9.998371679487352,True,0.7586414497901257,1.0834162511107743,0.998759919443438,0.5864125540190459,126.69583208722754,0.00057081285601707
original,chemical_cluster,50,head_random,"novelty_[0.7,1]",2,2,2,1.3426606448800686,1.3426606448800686,True,0.6206361262767285,1.566695137023926,1.566695137023926,0.6206361262767285,11.76678445229682,5.30138342256479e-05
original,chemical_cluster,50,repr_mlp,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,1.7583250462505615,2.1276876584021682,-0.15710411007188949,-0.5421362687987951,221956.86511208978,1.0
original,chemical_cluster,50,repr_mlp,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,2.8518258813345496,3.4522437913567874,1.1058537345086996,0.8356369426253856,36299.730764192434,0.16354407756597578
original,chemical_cluster,50,repr_mlp,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,1.5445234811052795,1.5331295328644794,-0.724012397327301,-0.8115188422424692,185657.13434789734,0.8364559224340242
original,chemical_cluster,50,repr_mlp,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,2.7249088191855724,2.739316497331233,-1.9532471076473732,-1.9386695172447783,5565.977961432507,0.025076845262802072
